"Date","Symbol","Class Symbol","Root Symbol","Underlying Symbol","Strike Price","Expiry Date","Call/Put","Ins. Type","Bid Price","Ask Price","Bid Size","Ask Size","Last Price","Volume","Last Close Price","Net Change","Open Price","High Price","Low Price","Total Value","Nb. Trades","Settlement Price","Open Interest","Implied Volatility"
"2020-01-02","SXO   200117C785.00","SXO","SXO","TX60",785,"2020-01-17",0,0,0,0,0,0,265,0,265,0,0,0,0,0,0,265,0,0
"2020-01-02","SXO   200117C790.00","SXO","SXO","TX60",790,"2020-01-17",0,0,0,0,0,0,259.5,0,259.5,0,0,0,0,0,0,259.5,0,0
"2020-01-02","SXO   200117C795.00","SXO","SXO","TX60",795,"2020-01-17",0,0,0,0,0,0,254,0,254,0,0,0,0,0,0,254,0,0
"2020-01-02","SXO   200117C800.00","SXO","SXO","TX60",800,"2020-01-17",0,0,0,0,0,0,248.5,0,248.5,0,0,0,0,0,0,248.5,0,0
"2020-01-02","SXO   200117C805.00","SXO","SXO","TX60",805,"2020-01-17",0,0,0,0,0,0,242.85,0,242.85,0,0,0,0,0,0,242.85,0,0
"2020-01-02","SXO   200117C810.00","SXO","SXO","TX60",810,"2020-01-17",0,0,0,0,0,0,237.35,0,237.35,0,0,0,0,0,0,237.35,0,0
"2020-01-02","SXO   200117C815.00","SXO","SXO","TX60",815,"2020-01-17",0,0,0,0,0,0,231.65,0,231.65,0,0,0,0,0,0,231.65,0,0
"2020-01-02","SXO   200117C820.00","SXO","SXO","TX60",820,"2020-01-17",0,0,0,0,0,0,226.15,0,226.15,0,0,0,0,0,0,226.15,0,0
"2020-01-02","SXO   200117C825.00","SXO","SXO","TX60",825,"2020-01-17",0,0,0,0,0,0,220.65,0,220.65,0,0,0,0,0,0,220.65,0,0
"2020-01-02","SXO   200117C830.00","SXO","SXO","TX60",830,"2020-01-17",0,0,0,0,0,0,215.15,0,215.15,0,0,0,0,0,0,215.15,0,0
"2020-01-02","SXO   200117C835.00","SXO","SXO","TX60",835,"2020-01-17",0,0,0,0,0,0,209.65,0,209.65,0,0,0,0,0,0,209.65,0,0
"2020-01-02","SXO   200117C840.00","SXO","SXO","TX60",840,"2020-01-17",0,0,0,0,0,0,204.15,0,204.15,0,0,0,0,0,0,204.15,0,0
"2020-01-02","SXO   200117C845.00","SXO","SXO","TX60",845,"2020-01-17",0,0,0,0,0,0,198.65,0,198.65,0,0,0,0,0,0,198.65,0,0
"2020-01-02","SXO   200117C850.00","SXO","SXO","TX60",850,"2020-01-17",0,0,0,0,0,0,193.15,0,193.15,0,0,0,0,0,0,193.15,0,0
"2020-01-02","SXO   200117C855.00","SXO","SXO","TX60",855,"2020-01-17",0,0,0,0,0,0,187.65,0,187.65,0,0,0,0,0,0,187.65,0,0
"2020-01-02","SXO   200117C860.00","SXO","SXO","TX60",860,"2020-01-17",0,0,0,0,0,0,182.15,0,182.15,0,0,0,0,0,0,182.15,0,0
"2020-01-02","SXO   200117C865.00","SXO","SXO","TX60",865,"2020-01-17",0,0,0,0,0,0,176.65,0,176.65,0,0,0,0,0,0,176.65,0,0
"2020-01-02","SXO   200117C870.00","SXO","SXO","TX60",870,"2020-01-17",0,0,0,0,0,0,171.15,0,171.15,0,0,0,0,0,0,171.15,0,0
"2020-01-02","SXO   200117C875.00","SXO","SXO","TX60",875,"2020-01-17",0,0,0,0,0,0,165.65,0,165.65,0,0,0,0,0,0,165.65,0,0
"2020-01-02","SXO   200117C880.00","SXO","SXO","TX60",880,"2020-01-17",0,0,0,0,0,0,160.15,0,160.15,0,0,0,0,0,0,160.15,0,0
"2020-01-02","SXO   200117C885.00","SXO","SXO","TX60",885,"2020-01-17",0,0,0,0,0,0,154.65,0,154.65,0,0,0,0,0,0,154.65,0,0
"2020-01-02","SXO   200117C890.00","SXO","SXO","TX60",890,"2020-01-17",0,0,0,0,0,0,149.15,0,149.15,0,0,0,0,0,0,149.15,0,0
"2020-01-02","SXO   200117C895.00","SXO","SXO","TX60",895,"2020-01-17",0,0,0,0,0,0,143.7,0,143.7,0,0,0,0,0,0,143.7,0,0
"2020-01-02","SXO   200117C900.00","SXO","SXO","TX60",900,"2020-01-17",0,0,0,0,0,0,138.2,0,138.2,0,0,0,0,0,0,138.2,0,0
"2020-01-02","SXO   200117C905.00","SXO","SXO","TX60",905,"2020-01-17",0,0,0,0,0,0,132.7,0,132.7,0,0,0,0,0,0,132.7,0,0
"2020-01-02","SXO   200117C910.00","SXO","SXO","TX60",910,"2020-01-17",0,0,0,0,0,0,127.2,0,127.2,0,0,0,0,0,0,127.2,0,0
"2020-01-02","SXO   200117C915.00","SXO","SXO","TX60",915,"2020-01-17",0,0,0,0,0,0,121.7,0,121.7,0,0,0,0,0,0,121.7,0,0
"2020-01-02","SXO   200117C920.00","SXO","SXO","TX60",920,"2020-01-17",0,0,0,0,0,0,116.25,0,116.25,0,0,0,0,0,0,116.25,0,0
"2020-01-02","SXO   200117C925.00","SXO","SXO","TX60",925,"2020-01-17",0,0,0,0,0,0,110.8,0,110.8,0,0,0,0,0,0,110.8,0,0
"2020-01-02","SXO   200117C930.00","SXO","SXO","TX60",930,"2020-01-17",0,0,0,0,0,0,105.35,0,105.35,0,0,0,0,0,0,105.35,0,0
"2020-01-02","SXO   200117C935.00","SXO","SXO","TX60",935,"2020-01-17",0,0,0,0,0,0,99.9,0,99.9,0,0,0,0,0,0,99.9,0,0
